Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
152407.6875,162724.2656,151730.0313,158694.1563,187500.0000,187500.0000,187500.0000,187500.0000,149771.8750,149748.8125,157788.9531,154855.0938,187500.0000,171509.9375,187500.0000,175157.7344,158327.8125,157608.5000,136711.5781,187500.0000,187500.0000,187500.0000,28.506989,NaN,NaN,NaN
152407.6875,162724.2656,151730.0313,158694.1563,187500.0000,187500.0000,187500.0000,187500.0000,149771.8750,149748.8125,157788.9531,154855.0938,187500.0000,171509.9375,187500.0000,175157.7344,158327.8125,157608.5000,136711.5781,187500.0000,187500.0000,187500.0000,28.510986,NaN,NaN,NaN
152854.5938,165459.0938,151448.0000,159808.9063,187500.0000,187500.0000,187500.0000,187500.0000,149389.9531,149520.6719,157316.6250,155141.4844,187500.0000,171513.1563,187500.0000,175256.2969,158736.9219,157902.3906,136701.8750,187500.0000,187500.0000,187500.0000,28.514984,NaN,NaN,NaN
152859.8438,165608.2656,151416.6563,159890.5156,187500.0000,187500.0000,187500.0000,187500.0000,149357.0781,149499.2813,157273.8594,155157.3125,187500.0000,171513.6875,187500.0000,175282.9063,158752.0469,157916.2344,136729.7500,187500.0000,187500.0000,187500.0000,28.518982,NaN,NaN,NaN
152859.8438,165608.2656,151416.6563,159890.5156,187500.0000,187500.0000,187500.0000,187500.0000,149357.0781,149499.2813,157273.8594,155157.3125,187500.0000,171513.6875,187500.0000,175282.9063,158752.0469,157916.2344,136729.7500,187500.0000,187500.0000,187500.0000,28.522980,NaN,NaN,NaN
152410.0313,162965.0625,151672.7031,158823.3594,187500.0000,187500.0000,187500.0000,187500.0000,149711.9375,149722.9375,157714.7344,154883.6875,187500.0000,171516.0313,187500.0000,175207.4688,158342.9063,157620.5625,136743.7656,187500.0000,187500.0000,187500.0000,28.526978,NaN,NaN,NaN
152410.0313,162965.0625,151672.7031,158823.3594,187500.0000,187500.0000,187500.0000,187500.0000,149711.9375,149722.9375,157714.7344,154883.6875,187500.0000,171516.0313,187500.0000,175207.4688,158342.9063,157620.5625,136743.7656,187500.0000,187500.0000,187500.0000,28.530975,NaN,NaN,NaN
152078.6719,160987.5625,151861.8438,157990.8125,187500.0000,187500.0000,187500.0000,187500.0000,149973.7188,149880.2656,158043.2344,154670.6875,187500.0000,171514.1094,187500.0000,175121.6406,158038.3125,157394.7031,136712.4063,187500.0000,187500.0000,187500.0000,28.534973,NaN,NaN,NaN
152343.0000,162606.2813,151682.3594,158606.8125,187500.0000,187500.0000,187500.0000,187500.0000,149736.5469,149713.9063,157750.7813,154822.2344,187500.0000,171505.2188,187500.0000,175142.3594,158285.3281,157567.7188,136670.3906,187500.0000,187500.0000,187500.0000,28.538971,NaN,NaN,NaN
152343.0000,162606.2813,151682.3594,158606.8125,187500.0000,187500.0000,187500.0000,187500.0000,149736.5469,149713.9063,157750.7813,154822.2344,187500.0000,171505.2188,187500.0000,175142.3594,158285.3281,157567.7188,136670.3906,187500.0000,187500.0000,187500.0000,28.543945,NaN,NaN,NaN
152795.0469,165355.7656,151401.7500,159727.6563,187500.0000,187500.0000,187500.0000,187500.0000,149355.4844,149484.5781,157278.7813,155112.6250,187500.0000,171510.5781,187500.0000,175242.4063,158696.4688,157863.2969,136659.6406,187500.0000,187500.0000,187500.0000,28.547943,NaN,NaN,NaN
152812.5000,165539.6563,151373.8594,159817.5625,187500.0000,187500.0000,187500.0000,187500.0000,149312.7031,149470.0000,157232.3281,155131.4063,187500.0000,171508.2656,187500.0000,175263.5781,158698.2344,157866.6563,136666.3438,187500.0000,187500.0000,187500.0000,28.551941,NaN,NaN,NaN
152812.5000,165539.6563,151373.8594,159817.5625,187500.0000,187500.0000,187500.0000,187500.0000,149312.7031,149470.0000,157232.3281,155131.4063,187500.0000,171508.2656,187500.0000,175263.5781,158698.2344,157866.6563,136666.3438,187500.0000,187500.0000,187500.0000,28.555939,NaN,NaN,NaN
152357.5156,162898.8125,151621.2656,158741.7031,187500.0000,187500.0000,187500.0000,187500.0000,149654.3281,149674.0469,157660.5469,154847.0469,187500.0000,171501.3594,187500.0000,175174.0625,158282.6250,157566.7656,136671.9063,187500.0000,187500.0000,187500.0000,28.559937,NaN,NaN,NaN
152020.7188,160897.2656,151810.9844,157897.8125,187500.0000,187500.0000,187500.0000,187500.0000,149918.9063,149831.6250,157990.7031,154628.7344,187500.0000,171497.6406,187500.0000,175086.2813,157973.5469,157337.9063,136640.0938,187500.0000,187500.0000,187500.0000,28.563934,NaN,NaN,NaN
